track,artist
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith
Perfect,Ed Sheeran
Amazed,Lonestar
This Will Be (An Everlasting Love),Natalie Cole
Can't Help Falling in Love,Haley Reinhart
Wherever You Will Go,Charlene Soraia
A Thousand Years,Christina Perri
Thinking out Loud,Ed Sheeran
I'm Yours,Jason Mraz
At Last,Etta James
Truly Madly Deeply,Savage Garden
Let's Stay Together,Al Green
Run,Leona Lewis
All of Me,John Legend
Shallow,"Lady Gaga, Bradley Cooper"
Sucker,Jonas Brothers
L-O-V-E,Nat King Cole
I Want To Hold Your Hand - Remastered 2015,The Beatles
Ain't No Mountain High Enough,Diana Ross
Daydream Believer,The Monkees
Symphony (feat. Zara Larsson),"Clean Bandit, Zara Larsson"
Your Song,Rita Ora
Born To Be Yours,"Kygo, Imagine Dragons"
Don't Stop Believin',Journey
Make You Feel My Love,Adele
Sweet Caroline,Neil Diamond
Best Part (feat. H.E.R.),"Daniel Caesar, H.E.R."
Young And Beautiful,Lana Del Rey
Sweetheart,Thomas Rhett
Us,James Bay
Speechless,Dan + Shay
You Are The Best Thing,Ray LaMontagne
Rewrite The Stars,"Zac Efron, Zendaya"
Say You Won't Let Go,James Arthur
Love Story,Taylor Swift
I Like Me Better,Lauv
Endless Love,"Lionel Richie, Diana Ross"
You Are The Reason,Calum Scott
Stand by Me,Ben E. King
Burning Love,Elvis Presley
Unchained Melody,The Righteous Brothers
You Send Me,Sam Cooke
Time After Time,Cyndi Lauper
Wannabe,Spice Girls
Firework,Katy Perry
You're The One That I Want - From “Grease”,"John Travolta, Olivia Newton-John"
Songbird,Eva Cassidy
Just the Way You Are,Bruno Mars
How Long Will I Love You - Bonus Track,Ellie Goulding
All You Need Is Love - Remastered 2009,The Beatles
Call Me Maybe,Carly Rae Jepsen
Love On Top,Beyoncé
No Scrubs,TLC
...Baby One More Time,Britney Spears
All About That Bass,Meghan Trainor
I'm Every Woman,Chaka Khan
Reach,S Club 7
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA
Jump,Girls Aloud
Like a Prayer,Madonna
I'm Coming Out,Diana Ross
From This Moment On,"Shania Twain, Bryan White"
Better Together,Jack Johnson
Can You Feel the Love Tonight,Elton John
The Luckiest,Ben Folds
"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder
You Make My Dreams (Come True),Daryl Hall & John Oates
"We Go Together - From ""Grease Live!"" Music From The Television Event","Julianne Hough, Aaron Tveit, Grease Live Cast"
Best Day Of My Life,American Authors
Wind Beneath My Wings,Bette Midler
What A Wonderful World,Louis Armstrong
Your Song - Bonus Track,Ellie Goulding
Single Ladies (Put a Ring on It),Beyoncé
Summer Of '69,Bryan Adams
Dancing in the Moonlight,Toploader
Valerie (feat. Amy Winehouse) - Version Revisited,"Mark Ronson, Amy Winehouse"
Marry You,Bruno Mars
Come On Eileen,Dexys Midnight Runners
Gimme All Your Lovin',ZZ Top
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston
Let's Twist Again,Chubby Checker
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake
"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack","Bill Medley, Jennifer Warnes"
Uptown Funk (feat. Bruno Mars),"Mark Ronson, Bruno Mars"
Never Forget,Take That
Don't Stop Me Now - Remastered 2011,Queen
I'm Gonna Be (500 Miles),The Proclaimers
How Sweet It Is (To Be Loved by You),James Taylor
Toothpaste Kisses,The Maccabees
Shut Up and Dance,WALK THE MOON
Last Request,Paolo Nutini
Can't Take My Eyes Off You,Andy Williams
(Everything I Do) I Do It For You,Bryan Adams
Heroes - 2017 Remaster,David Bowie
"Love Is All Around - From ""Four Weddings And A Funeral""",Wet Wet Wet
Marry Me,Train
Everything,Michael Bublé
Ho Hey,The Lumineers
I Got You (I Feel Good),James Brown
"I Do, I Do, I Do, I Do, I Do",ABBA
